date t365 i365 t730 i730 t1095 i1095 t1460 i1460 t1825 i1825 t2555 i2555 t3650 i3650 t4380 i4380 t5475 i5475 t7300 i7300 t10950 i10950
20050309 371 0.05093578325 742 0.05109560677 1106 0.0510869325 1461 0.05155779538 1826 0.05160358276 2557 0.05153601948 3652 0.05134676377 4383 0.05109035687 5479 0.05059096312 7306 0.04974193936 10957 0.04781059799 
20050310 370 0.05089178733 741 0.05113539729 1105 0.05117865493 1461 0.05163433058 1826 0.05167966797 2559 0.05161115749 3652 0.0513630395 4383 0.05110816941 5479 0.05067888245 7305 0.04989978487 10959 0.04816641169 
20050311 369 0.05079922547 740 0.05099059992 1104 0.05102467011 1461 0.05143161553 1826 0.05147817089 2558 0.05143864892 3652 0.05124919912 4385 0.05102515659 5479 0.05059267372 7305 0.04984864801 10958 0.0481499569 
20050314 366 0.0506963523 737 0.05086529575 1101 0.05090824262 1463 0.05133356191 1827 0.05140765727 2557 0.05136742823 3654 0.05117685373 4383 0.0509203923 5481 0.05045535419 7305 0.049678894 10957 0.04795006717 
20050315 365 0.05055426508 736 0.05064578286 1100 0.05063887879 1462 0.05095084718 1826 0.05091771363 2557 0.05082679863 3653 0.05055638247 4383 0.05030530462 5480 0.04977887347 7307 0.04897979102 10957 0.04706562994 
20050316 364 0.05044708714 735 0.05039845 1099 0.05028170836 1461 0.05060092575 1826 0.05056806993 2557 0.05050744465 3652 0.05029537468 4383 0.05004312665 5479 0.04961806392 7306 0.04892042301 10957 0.04715267628 
20050317 363 0.0503169593 734 0.05032085825 1098 0.05026247258 1461 0.05063269347 1826 0.05059838507 2559 0.05059256427 3652 0.05046589215 4383 0.05027393341 5479 0.04990899994 7305 0.04923505241 10959 0.04765945166 
20050318 362 0.05031035471 733 0.05042886944 1097 0.05043289476 1461 0.05081047648 1826 0.05080263752 2558 0.05085154309 3652 0.05072096165 4385 0.05052709941 5479 0.05012614477 7305 0.04945236789 10958 0.0477863069 
20050321 359 0.05041729423 730 0.05061921699 1094 0.0506584863 1463 0.05092745324 1827 0.05092142189 2557 0.0509719339 3654 0.05087183149 4383 0.0506776952 5481 0.05027532888 7305 0.04952578454 10957 0.04787065909 
20050322 358 0.05008729311 729 0.05020622989 1093 0.05021864031 1462 0.05053313386 1826 0.05052683539 2557 0.05052049731 3653 0.05042283448 4383 0.0502300889 5480 0.04989803068 7307 0.0491822998 10957 0.04752457979 
20050323 357 0.05028668889 728 0.05050641401 1092 0.05058500195 1461 0.0510969924 1826 0.05111336221 2557 0.05112923716 3652 0.05099783496 4383 0.0507707291 5479 0.05040394791 7306 0.04965089259 10961 0.04790571029 
20050324 356 0.05030677928 727 0.05051655418 1091 0.05055888612 1461 0.05088262778 1826 0.05087530558 2559 0.05086780265 3652 0.05071119916 4383 0.05048704828 5479 0.0501575549 7305 0.04936811588 10960 0.04759309366 
20050328 352 0.05029803914 723 0.0505137579 1087 0.05055722198 1463 0.05085575935 1827 0.05084917011 2558 0.05084236442 3654 0.05068569862 4384 0.05046180929 5481 0.0501324442 7308 0.04934321792 10958 0.04756868798 
20050329 351 0.050226693 722 0.05042834601 1086 0.05043424248 1462 0.05070357019 1826 0.05067042212 2557 0.05066527835 3653 0.05045001921 4383 0.05022906885 5480 0.04990227399 7307 0.04911693415 10957 0.04734942999 
